生う	おう	Faire pousser/pousser			<span class="kanji">生<span class="furigana">お</span></span>う			
生	なま	Cru			<span class="kanji">生<span class="furigana">なま</span></span>			
年	とし	Année			<span class="kanji">年<span class="furigana">とし</span></span>			
年	ねん	An			<span class="kanji">年<span class="furigana">ねん</span></span>			
生年月日	せいねんがっぴ	Date de naissance			<span class="kanji">生年月日<span class="furigana">せいねんがっぴ</span></span>			
三年生	さんねんせい	Étudiant de troisième année			<span class="kanji">三年生<span class="furigana">さんねんせい</span></span>			
五年間	ごねんかん	Pendant 5 ans			<span class="kanji">五年間<span class="furigana">ごねんかん</span></span>			
年金	ねんきん	Pension, rente			<span class="kanji">年金<span class="furigana">ねんきん</span></span>			
２０１１年９月４日	にせんじゅういちねんくがつよっか	4 septembre 2011			<span class="kanji">２０１１年９月４日<span class="furigana">にせんじゅういちねんくがつよっか</span></span>			
以上	いじょう	Plus de; ci-dessus			<span class="kanji">以上<span class="furigana">いじょう</span></span>			
三時間以上	さんじかんいじょう	Plus de trois heures			<span class="kanji">三時間以上<span class="furigana">さんじかんいじょう</span></span>			
以下	いか	Moins de; ci-après; comme suit			<span class="kanji">以下<span class="furigana">いか</span></span>			
三つ以下	みっついか	Trois ou moins			<span class="kanji">三<span class="furigana">みっ</span></span>つ<span class="kanji">以下<span class="furigana">いか</span></span>			
前	まえ	Devant; avant; antérieur			<span class="kanji">前<span class="furigana">まえ</span></span>			
以前	いぜん	Auparavant, précédemment			<span class="kanji">以前<span class="furigana">いぜん</span></span>			
前もって	まえもって	Au préalable, à l'avance			<span class="kanji">前<span class="furigana">まえ</span></span>もって			
人前(で)	ひとまえ(で)	En public			<span class="kanji">人前<span class="furigana">ひとまえ</span></span>(で)			
分け前	わけまえ	Part, lot			<span class="kanji">分<span class="furigana">わ</span></span>け<span class="kanji">前<span class="furigana">まえ</span></span>			
二人前	ふたりまえ、ににんまえ	Pour deux personnes			<span class="kanji">二人前<span class="furigana">ふたりまえ</span></span>			
後	あと	Après, ultérieur, reste			<span class="kanji">後<span class="furigana">あと</span></span>			
後	のち	Après			<span class="kanji">後<span class="furigana">のち</span></span>			
後ろ	うしろ	Derrière			<span class="kanji">後<span class="furigana">うし</span></span>ろ			
